Tanggal,Suhu Minimum,Suhu Maksimum,Suhu Rata-rata,Kelembaban Relatif Rata rata,Curah Hujan,Durasi Penyinaran Matahari (dalam jam),Kecepatan Angin (dalam meter per detik),Arah Angin (dalam derajat),Kecepatan Angin Rata rata (dalam meter per detik)
2023-06-22,22.8,31.4,26.4,87.0,4.5,3.7,3.0,70.0,1.0
2023-06-23,23.9,30.8,26.3,88.0,0.0,2.4,2.0,90.0,0.0
2023-06-24,23.6,31.4,26.5,88.0,0.0,0.7,3.0,340.0,1.0
2023-06-25,23.8,32.0,26.8,88.0,8888.0,0.6,3.0,300.0,1.0
2023-06-26,23.8,32.0,27.1,86.0,8888.0,3.4,2.0,360.0,1.0
2023-06-27,22.8,32.6,29.2,78.0,0.0,4.1,2.0,10.0,1.0
2023-06-28,23.5,32.0,27.0,86.0,1.0,5.3,2.0,70.0,1.0
2023-06-29,22.3,30.8,26.1,89.0,0.0,2.1,2.0,200.0,1.0
2023-06-30,23.6,32.3,26.8,87.0,8888.0,0.2,3.0,180.0,1.0
2023-07-01,23.1,32.8,27.0,86.0,0.3,3.0,3.0,340.0,1.0
2023-07-02,24.8,33.2,28.0,85.0,0.0,3.2,2.0,340.0,1.0
2023-07-03,23.6,32.0,26.2,92.0,0.0,3.9,2.0,210.0,1.0
2023-07-04,23.6,32.4,24.8,96.0,3.0,2.3,3.0,210.0,1.0
2023-07-05,23.0,32.6,26.5,88.0,14.1,3.6,2.0,50.0,1.0
2023-07-06,22.8,31.2,26.1,91.0,1.8,3.8,5.0,360.0,1.0
2023-07-07,23.7,32.0,24.9,96.0,1.0,2.5,2.0,70.0,0.0
2023-07-08,21.8,33.2,27.5,78.0,31.5,1.3,2.0,260.0,1.0
2023-07-09,22.4,32.2,26.5,80.0,0.0,8.0,2.0,270.0,1.0
2023-07-10,23.0,32.6,26.8,80.0,0.0,4.9,2.0,150.0,1.0
2023-07-11,22.4,29.2,25.5,90.0,0.0,6.2,2.0,160.0,0.0
2023-07-12,23.6,29.1,25.2,94.0,8888.0,0.0,2.0,280.0,1.0
2023-07-13,24.2,27.2,24.8,96.0,25.1,1.1,1.0,180.0,0.0
2023-07-14,23.4,28.7,25.4,94.0,16.6,0.0,2.0,280.0,1.0
2023-07-15,22.5,32.4,26.6,84.0,2.8,0.7,3.0,150.0,1.0
2023-07-16,23.0,32.2,26.5,85.0,0.0,6.7,3.0,140.0,1.0
2023-07-17,23.6,29.8,25.1,92.0,0.0,4.6,2.0,60.0,1.0
2023-07-18,23.4,30.2,25.4,90.0,2.2,0.3,2.0,300.0,1.0
2023-07-19,23.2,31.0,26.5,85.0,2.7,0.1,2.0,280.0,1.0
2023-07-20,23.4,31.9,26.4,87.0,1.5,1.5,2.0,340.0,1.0
2023-07-21,22.6,32.6,26.9,83.0,3.4,4.2,2.0,360.0,0.0
2023-07-22,23.2,32.6,27.4,84.0,0.0,2.8,1.0,360.0,0.0
2023-07-23,21.8,32.0,26.0,85.0,8888.0,4.8,1.0,360.0,0.0
2023-07-24,21.0,31.8,25.8,85.0,0.0,6.8,1.0,50.0,0.0
2023-07-25,21.0,31.6,25.4,89.0,8888.0,4.6,1.0,135.0,0.0
2023-07-26,23.4,31.6,26.4,86.0,8888.0,5.6,2.0,80.0,1.0
2023-07-27,23.2,30.6,25.8,86.0,0.6,4.0,2.0,350.0,0.0
2023-07-28,21.3,32.3,25.8,86.0,0.0,2.6,1.0,320.0,0.0
2023-07-29,20.7,32.4,25.8,83.0,0.5,7.1,2.0,100.0,1.0
2023-07-30,21.6,32.0,26.2,82.0,0.0,8.9,1.0,20.0,0.0
2023-07-31,22.0,31.0,25.7,88.0,0.8,5.8,0.0,0.0,0.0
